REF_DATE,North American Industry Classification System (NAICS),Sales,Adjustments,Release,UOM,UOM_ID,SCALAR_FACTOR,VALUE
2021-04,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1614395
2021-05,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1598111
2021-06,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1589958
2021-07,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1613134
2021-08,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1591927
2021-09,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1585707
2021-10,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1607525
2021-11,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1588283
2021-12,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1577376
2022-01,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1648430
2022-02,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1646156
2022-03,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1639109
2022-04,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1704017
2022-05,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1685573
2022-06,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1689411
2022-07,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1635898
2022-08,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1613750
2022-09,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1619913
2022-10,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1601784
2022-11,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1595094
2022-12,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1767909
2023-01,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1693621
2023-02,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1752789
2023-03,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1760941
2023-04,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1707925
2023-05,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1723760
2023-06,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1706888
2023-07,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1743599
2023-08,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1759030
2023-09,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1742933
2023-10,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1760198
2023-11,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1784103
2023-12,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1757066
2024-01,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1803841
2024-02,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1752074
2024-03,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1722325
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
